Location,latitude,longitude
"Oregon, IL",42.0147513,-89.3323279
Wisconsin,44.4308975,-89.6884637
"Dallas, TX",32.7762719,-96.7968559
"Madison, WI",43.074761,-89.3837613
Connecticut,41.6500201,-72.7342163
"Beverly, NJ",40.0653889,-74.9190558
"McLean, VA",38.93668525,-77.1858430261388
"Pittsburgh, PA",40.4416941,-79.9900861
"Richmond, VA",37.5385087,-77.43428
Anywhere,-14.1601396,33.8624178
"Columbus, OH",39.9622601,-83.0007065
"Boston, MA",42.3554334,-71.060511
"Detroit, MI",42.3315509,-83.0466403
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
New York,40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"Livingston, NJ",40.7959335,-74.3148713
Anywhere,-14.1601396,33.8624178
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"Rockaway, NJ",40.9012101,-74.5143232
Anywhere,-14.1601396,33.8624178
"Jefferson City, MO",38.577359,-92.1724265
"Home, KS",39.8416678,-96.5197389
"Overland Park, KS",38.9742502,-94.6851702
"Fairbury, NE",40.137225,-97.180591
"Overland Park, KS",38.9742502,-94.6851702
"Bartlesville, OK",36.7421089,-95.9528877
"Cammack Village, AR",34.7795981,-92.3447445
"Tulsa, OK",36.1563122,-95.9927516
"Bentonville, AR",36.3728538,-94.2088172
"Bentonville, AR",36.3728538,-94.2088172
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"Long Island City, New York",40.7455316,-73.9484995
"Washington, DC",38.8950368,-77.0365427
New York,40.7127281,-74.0060152
"Melville, NY",40.7934322,-73.4151214
"Pittsburgh, PA",40.4416941,-79.9900861
"Alexandria, VA",38.8051095,-77.0470229
"Buffalo, NY",42.8867166,-78.8783922
"Philadelphia, PA",39.9527237,-75.1635262
"Harrisburg, PA",40.2663107,-76.8861122
"Philadelphia, PA",39.9527237,-75.1635262
Anywhere,-14.1601396,33.8624178
"Washington, DC",38.8950368,-77.0365427
"Pittsburgh, PA",40.4416941,-79.9900861
"Grandview Heights, OH",39.9797863,-83.0407403
"Naperville, IL",41.7728699,-88.1479278
"Fishers, IN",39.9555928,-86.0138729
"Columbus, OH",39.9622601,-83.0007065
"Pittsburgh, PA",40.4416941,-79.9900861
"Aurora, IL",41.7571701,-88.3147539
"Chicago, IL",41.8755616,-87.6244212
"Chicago, IL",41.8755616,-87.6244212
"Chicago, IL",41.8755616,-87.6244212
"Indianapolis, IN",39.7683331,-86.1583502
"St. Louis, MO",38.6280278,-90.1910154
"Fenton, MO",38.5131989,-90.4400578
"Memphis, TN",35.1460249,-90.0517638
"Chesterfield, MO",38.661953,-90.5643258
"Lake St Louis, MO",38.7850251,-90.7935034
"Chesterfield, MO",38.661953,-90.5643258
"St. Louis, MO",38.6280278,-90.1910154
"St. Louis, MO",38.6280278,-90.1910154
"O'Fallon, MO",38.7902503,-90.7033292
"Mountain View, AR",35.8684075,-92.1176521
"Lake Forest, CA",33.6469261,-117.6859213
"Fresno, CA",36.7394421,-119.78483
"Universal City, CA",34.1419225,-118.358411
"Fountain Valley, CA",33.7038145,-117.9627349
"Tustin, CA",33.7458511,-117.826166
"Fullerton, CA",33.8708215,-117.929416
"Los Angeles, CA",34.0536909,-118.242766
"Claremont, CA",34.0966764,-117.7197785
"Norco, CA",33.9323307,-117.5508901
"San Diego, CA",32.7174202,-117.162772
"Blacksburg, VA",37.2296566,-80.4136767
"Rose Hill, VA",38.785351500000004,-77.11573189302656
"Knoxville, TN",35.9603948,-83.9210261
"Asheville, NC",35.595363,-82.5508407
"Nashville, TN",36.1622767,-86.7742984
"Herrin, IL",37.8031056,-89.0275744
"Hagerstown, IN",39.9111577,-85.1616315
"Columbus, OH",39.9622601,-83.0007065
"Four States, WV",39.4798067,-80.3098077
"Knoxville, TN",35.9603948,-83.9210261
"University, FL",28.588779950000003,-81.19813446391356
"Orlando, FL",28.5421109,-81.3790304
"Tampa, FL",27.9477595,-82.458444
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Miami, FL",25.7741728,-80.19362
"Boca Raton, FL",26.3586885,-80.0830984
Anywhere,-14.1601396,33.8624178
"Fort Myers, FL",26.640628,-81.8723084
"Pine Castle, FL",28.468480399999997,-81.37354029021478
"Marietta, GA",33.9528472,-84.5496148
"Albany, GA",31.5782062,-84.1556809
Anywhere,-14.1601396,33.8624178
"Atlanta, GA",33.7489924,-84.3902644
"Bowdon, GA",33.5378885,-85.2532818
Georgia,32.3293809,-83.1137366
Anywhere,-14.1601396,33.8624178
"Marietta, GA",33.9528472,-84.5496148
"Alpharetta, GA",34.0709576,-84.2747329
"Nashville, TN",36.1622767,-86.7742984
"Edison, NJ",40.518157,-74.4113926
"Pittsburgh, PA",40.4416941,-79.9900861
"New Milford, CT",41.5770993,-73.4105803
"Jersey City, NJ",40.7215682,-74.047455
"Rahns, PA",40.2092701,-75.4529578
"Woodbridge Township, NJ",40.5576045,-74.2845911
"Carlstadt, NJ",40.8403778,-74.0906974
"Pittsburgh, PA",40.4416941,-79.9900861
"Summit, NJ",40.7182356,-74.3592296
"Paramus, NJ",40.9452911,-74.0735899
"Tysons, VA",38.9191272,-77.22296360086021
"Salisbury, MD",38.366027,-75.6009964
"North Reading, MA",42.5750939,-71.0786653
Anywhere,-14.1601396,33.8624178
"West Chester, PA",39.9597213,-75.6059638
"Sterling, VA",39.0017455,-77.4033349
"Washington, DC",38.8950368,-77.0365427
"Boston, MA",42.3554334,-71.060511
"Boston, MA",42.3554334,-71.060511
"Wernersville, PA",40.3300924,-76.0804972
"Marietta, GA",33.9528472,-84.5496148
"Duluth, GA",34.0028569,-84.1441046
"St. Louis, MO",38.6280278,-90.1910154
"Louisville, KY",38.2542376,-85.759407
"Summerville, GA",34.480642,-85.3477343
"Birmingham, AL",33.5206824,-86.8024326
"Norcross, GA",33.9412127,-84.2135309
"Frankfort, KY",38.2009055,-84.8732836
"Lovettsville, VA",39.2747722,-77.6393091
"Elmira, NY",42.0897965,-76.8077338
"Carlisle, PA",40.201499,-77.1890783
"Pen Argyl, PA",40.8687064,-75.2549025
Anywhere,-14.1601396,33.8624178
"Owings Mills, MD",39.41484355,-76.79182399596584
"McLean, VA",38.93668525,-77.1858430261388
"Washington, DC",38.8950368,-77.0365427
"McLean, VA",38.93668525,-77.1858430261388
"Oklahoma City, OK",35.4729886,-97.5170536
"Wichita, KS",37.6922361,-97.3375448
"Oklahoma City, OK",35.4729886,-97.5170536
"Tulsa, OK",36.1563122,-95.9927516
"Pea Ridge, AR",36.4515042,-94.1162147
"All, MO",37.1806049,-93.0360117
"El Dorado, KS",37.81724,-96.8622524
"Bentonville, AR",36.3728538,-94.2088172
"Rogers, AR",36.3330154,-94.1166283
"Oklahoma City, OK",35.4729886,-97.5170536
"Columbia, SC",34.0003117,-81.0331309
"Chattanooga, TN",35.0457219,-85.3094883
"Huntsville, AL",34.729847,-86.5859011
"Charleston, SC",32.7884363,-79.9399309
"Greenville, SC",34.851354,-82.3984882
"Charlotte, NC",35.2272086,-80.8430827
"Tallahassee, FL",30.4380832,-84.2809332
"Knoxville, TN",35.9603948,-83.9210261
"Jacksonville, FL",30.3321838,-81.655651
"Gainesville, FL",29.6519684,-82.3249846
"Lehi, UT",40.3881114,-111.8486019
"Ogden, UT",41.2230048,-111.9738429
"Salt Lake City, UT",40.7596198,-111.886797
United States,39.7837304,-100.445882
Anywhere,-14.1601396,33.8624178
United States,39.7837304,-100.445882
United States,39.7837304,-100.445882
United States,39.7837304,-100.445882
Anywhere,-14.1601396,33.8624178
Oregon,43.9792797,-120.737257
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"Jersey City, NJ",40.7215682,-74.047455
"Berkeley Heights, NJ",40.6834349,-74.442653
"Newark, NJ",40.735657,-74.1723667
"Willow Grove, PA",40.1507046,-75.11623055715701
United States,39.7837304,-100.445882
"East Greenbush, NY",42.5909135,-73.7017858
"McLean, VA",38.93668525,-77.1858430261388
"Colorado Springs, CO",38.8339578,-104.825348
"Westbrook, ME (+1 other)",,
"Reston, VA",38.953055899999995,-77.35021396591173
"South Bend, IN",41.6833813,-86.2500066
"Denton, TX",33.1838787,-97.1413417
"Columbia, SC",34.0003117,-81.0331309
United States (+1 other),37.619695,-82.724786
"Charlotte, NC",35.2272086,-80.8430827
"Los Angeles, CA",34.0536909,-118.242766
Anywhere,-14.1601396,33.8624178
"Amherst, NY",42.9783924,-78.7997616
"McLean, VA (+1 other)",,
Anywhere,-14.1601396,33.8624178
"Milford, MA",42.1428913,-71.5164618
"Washington, DC",38.8950368,-77.0365427
United States,39.7837304,-100.445882
Anywhere,-14.1601396,33.8624178
Virginia,37.1232245,-78.4927721
"Atlanta, GA (+1 other)",,
"Spring Valley, NY",41.1130231,-74.0437839
"Albany, CA",37.8871621,-122.298351
"Chicago, IL (+3 others)",,
"New York, NY",40.7127281,-74.0060152
United States,39.7837304,-100.445882
"Pittsburgh, PA",40.4416941,-79.9900861
"Herndon, VA",38.9695316,-77.3859479
"Chicago, IL (+2 others)",,
"Charlotte, NC",35.2272086,-80.8430827
"Washington, DC",38.8950368,-77.0365427
"Burlington, MA",42.5048167,-71.1956111
"Springfield, MA",42.1018764,-72.5886727
"Merrillville, IN",41.4828144,-87.3328139
"Laughlin AFB, TX",29.3614054,-100.778572
United States,39.7837304,-100.445882
"Concord, NH",43.207178,-71.537476
"New York, NY (+6 others)",,
"Helena, MT",46.5927425,-112.036277
New York,40.7127281,-74.0060152
Anywhere,-14.1601396,33.8624178
"North Chicago, IL",42.327724,-87.8394189
"Cupertino, CA",37.3228934,-122.0322895
Anywhere,-14.1601396,33.8624178
"Chicago, IL",41.8755616,-87.6244212
"Fresno, CA",36.7394421,-119.78483
"Charlotte, NC",35.2272086,-80.8430827
"Newark, NJ",40.735657,-74.1723667
United States,39.7837304,-100.445882
"Irving, TX",32.8295183,-96.9442177
"Pontiac, MI",42.6389216,-83.2910468
"New York, NY",40.7127281,-74.0060152
"Silver Spring, MD",38.9997621,-77.02403709829767
"New York, NY",40.7127281,-74.0060152
"Palatine, IL",42.1105779,-88.0336888
Anywhere,-14.1601396,33.8624178
"Westlake, TX (+2 others)",,
"Nashville, TN",36.1622767,-86.7742984
"New York, NY",40.7127281,-74.0060152
"San Francisco, CA",37.7792588,-122.4193286
"San Francisco, CA",37.7792588,-122.4193286
"New York, NY",40.7127281,-74.0060152
"Lansing, MI",42.7338254,-84.5546295
"Fort Worth, TX",32.753177,-97.3327459
"Jamesburg, NJ",40.3526079,-74.4401513
Anywhere,-14.1601396,33.8624178
"Palatine, IL",42.1105779,-88.0336888
"Falls Church, Virginia",38.882334,-77.1710914
"Brookhaven, GA",33.8584368,-84.340203
"Lewisville, TX",33.046233,-96.994174
"San Francisco, CA",37.7792588,-122.4193286
Anywhere,-14.1601396,33.8624178
"Mountain View, CA",37.3893889,-122.0832101
"San Francisco, CA",37.7792588,-122.4193286
Anywhere,-14.1601396,33.8624178
"Bellevue, WA",47.6144219,-122.192337
"San Diego, CA",32.7174202,-117.162772
Anywhere,-14.1601396,33.8624178
"New York, NY",40.7127281,-74.0060152
"Spokane, WA",47.6571934,-117.42351
"Dearborn, MI",42.3222599,-83.1763145
Anywhere,-14.1601396,33.8624178
"St Paul, MN",44.9497487,-93.0931028
"Westlake, TX",32.991226,-97.1943701
"Charleston, WV",38.3505995,-81.6332812
"Indianapolis, IN",39.7683331,-86.1583502
Anywhere,-14.1601396,33.8624178
"Little Rock, AR",34.7465071,-92.2896267
"Reston, VA",38.9583737,-77.3579805
"Evans, GA",32.1613648,-81.8980725
"Pittsburgh, PA",40.4416941,-79.9900861
"Milwaukee, WI",43.0386475,-87.9090751
"Renton, WA",47.4799078,-122.2034496
"Juneau, AK",58.3019496,-134.419734
"Beaverton, OR",45.4871723,-122.80378
"San Francisco, CA",37.7792588,-122.4193286
United States,39.7837304,-100.445882
"Los Angeles, CA",34.0536909,-118.242766
"Cupertino, CA",37.3228934,-122.0322895
"Penbrook, PA",40.275367,-76.8480282
"Larchmont, NY",40.9278769,-73.7517983
"Aubrey, TX",33.31420850000001,-96.97563229497024
"Boston, MA",42.3554334,-71.060511
"Raleigh, NC",35.7803977,-78.6390989
"Hanscom AFB, MA",42.4735882,-71.28084237444304
"Wyoming, DE",39.1181681,-75.5588139
"Lindenhurst, NY",40.6867667,-73.3734547
Anywhere,-14.1601396,33.8624178
"Hull, MA",42.3020436,-70.9078243
"Williamsburg, VA",37.2708788,-76.7074042
Anywhere,-14.1601396,33.8624178
"Townsend, MA",42.6672938,-71.7054364
"Horsham, PA",40.1842455,-75.13905239078957
"Chicago, IL",41.8755616,-87.6244212
"New York, NY",40.7127281,-74.0060152
Anywhere,-14.1601396,33.8624178
"Reston, VA",38.9583737,-77.3579805
"Oklahoma City, OK",35.4729886,-97.5170536
"Kansas City, MO",39.100105,-94.5781416
Oklahoma,34.9550817,-97.2684063
"Kansas City, MO",39.100105,-94.5781416
"Bentonville, AR",36.3728538,-94.2088172
Anywhere,-14.1601396,33.8624178
"Olathe, KS",38.8838856,-94.81887
"Bentonville, AR",36.3728538,-94.2088172
"Olathe, KS",38.8838856,-94.81887
"Manhattan, KS",39.1836082,-96.5716694
"Pennington, NJ",40.3281213,-74.7909992
Anywhere,-14.1601396,33.8624178
"Philadelphia, PA",39.9527237,-75.1635262
"Burlington, NJ",39.9325409,-74.7226665
"Newark, DE",39.6828358,-75.7515682
"Philadelphia, PA",39.9527237,-75.1635262
"Philadelphia, PA",39.9527237,-75.1635262
"Wayne, PA",41.6264414,-75.3045103
Delaware,38.6920451,-75.4013315
"Bloomfield, NJ",40.806767,-74.1854226
"New York, NY",40.7127281,-74.0060152
"Stamford, CT",41.0534302,-73.5387341
"White Plains, NY",41.0339862,-73.7629097
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
Anywhere,-14.1601396,33.8624178
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"Kansas City, MO",39.100105,-94.5781416
"Wichita, KS",37.6922361,-97.3375448
"Jefferson City, MO",38.577359,-92.1724265
"Oklahoma City, OK",35.4729886,-97.5170536
"Jefferson City, MO",38.577359,-92.1724265
"Lowell, AR",36.2553543,-94.1307587
"Topeka, KS",39.049011,-95.677556
"Oklahoma City, OK",35.4729886,-97.5170536
"Leawood, KS",38.966673,-94.6169012
"Jefferson City, MO",38.577359,-92.1724265
"Tampa, FL",27.9477595,-82.458444
"Tampa, FL",27.9477595,-82.458444
"Largo, FL",27.9094665,-82.7873244
Anywhere,-14.1601396,33.8624178
"Tampa, FL",27.9477595,-82.458444
"Lake Mary, FL",28.7562749,-81.322093
"Miami, FL",25.7741728,-80.19362
"Tampa, FL",27.9477595,-82.458444
"Miami, FL",25.7741728,-80.19362
"Tallahassee, FL",30.4380832,-84.2809332
"Taylorsville, UT",40.6676347,-111.9388027
"Murray, UT",40.6667841,-111.888417
"Lehi, UT",40.3881114,-111.8486019
Utah,39.4225192,-111.714358
"Salt Lake City, UT",40.7596198,-111.886797
"Salt Lake City, UT",40.7596198,-111.886797
"St. George, UT",37.104153,-113.584131
"Salt Lake City, UT",40.7596198,-111.886797
"South Jordan, UT",40.5584882,-111.9367107
Utah,39.4225192,-111.714358
"Dallas, TX",32.7762719,-96.7968559
"Frisco, TX",33.1505998,-96.8238183
"Irving, TX",32.8295183,-96.9442177
"Dallas, TX",32.7762719,-96.7968559
"Irving, TX",32.8295183,-96.9442177
"Temple, TX",31.098207,-97.3427847
"Dallas, TX",32.7762719,-96.7968559
"Plano, TX",33.0136764,-96.6925096
"Dallas, TX",32.7762719,-96.7968559
"Farmers Branch, TX",32.9265668,-96.8960916
"Atlanta, GA",33.7489924,-84.3902644
"Atlanta, GA",33.7489924,-84.3902644
"Atlanta, GA",33.7489924,-84.3902644
"Charlotte, NC",35.2272086,-80.8430827
"Atlanta, GA",33.7489924,-84.3902644
"Hilton Head Island, SC",32.1618488,-80.7512616
"Atlanta, GA",33.7489924,-84.3902644
Anywhere,-14.1601396,33.8624178
"Alpharetta, GA",34.0709576,-84.2747329
"Spartanburg, SC",34.9498007,-81.9320157
"Atlanta, GA",33.7489924,-84.3902644
"Alpharetta, GA",34.0709576,-84.2747329
"Greenville, SC",34.851354,-82.3984882
"Atlanta, GA",33.7489924,-84.3902644
"Atlanta, GA",33.7489924,-84.3902644
"Nashville, TN",36.1622767,-86.7742984
"Atlanta, GA",33.7489924,-84.3902644
"Charlotte, NC",35.2272086,-80.8430827
"Atlanta, GA",33.7489924,-84.3902644
"Alpharetta, GA",34.0709576,-84.2747329
Anywhere,-14.1601396,33.8624178
Anywhere,-14.1601396,33.8624178
Massachusetts,42.3788774,-72.032366
New York,40.7127281,-74.0060152
Anywhere,-14.1601396,33.8624178
"Hartford, CT",41.764582,-72.6908547
"Framingham, MA",42.2773177,-71.4165905
"McLean, VA (+1 other)",,
Pennsylvania,40.9699889,-77.7278831
"Schenectady, NY",42.8142432,-73.9395687
"Harrisonburg, VA",38.4493315,-78.8688833
United States,39.7837304,-100.445882
"Indianapolis, IN",39.7683331,-86.1583502
United States,39.7837304,-100.445882
"Huntsville, AL (+8 others)",,
"San Francisco, CA",37.7792588,-122.4193286
"Cupertino, CA",37.3228934,-122.0322895
Anywhere,-14.1601396,33.8624178
"Malvern, PA",40.036202,-75.5138959
"San Francisco, CA (+1 other)",,
"San Diego, CA",32.7174202,-117.162772
"New York, NY (+3 others)",,
Anywhere,-14.1601396,33.8624178
"Seattle, WA",47.6038321,-122.330062
Anywhere,-14.1601396,33.8624178
"Cupertino, CA",37.3228934,-122.0322895
"Bellevue, WA",47.6144219,-122.192337
"Menlo Park, CA",37.4519671,-122.177992
United States,39.7837304,-100.445882
"Lincolnshire, IL",42.1900249,-87.9084039
"Hartford, WI",43.317744,-88.3788508
"Redwood City, CA",37.4863239,-122.232523
"Moorestown, NJ",39.9670569,-74.9426677
"Salisbury, MD",38.366027,-75.6009964
"Denver, CO",39.7392364,-104.984862
"Portland, ME",43.6573605,-70.2586618
"Cupertino, CA",37.3228934,-122.0322895
"Dallas, TX",32.7762719,-96.7968559
"Trenton, NJ (+6 others)",,
"New York, NY",40.7127281,-74.0060152
"Cupertino, CA",37.3228934,-122.0322895
"Santa Clara, CA",37.3541132,-121.955174
"Charlotte, NC",35.2272086,-80.8430827
"Santa Monica, CA",34.0194704,-118.491227
"Dearborn, MI",42.3222599,-83.1763145
